TIME	VALOR	VARIÁVEL	ANO	RANKING	Pontos
América Mineiro	0	LIQUIDEZ IMEDIATA	2014	29	NA
América Mineiro	0.56	LIQUIDEZ IMEDIATA	2015	31	NA
América Mineiro	0.54	LIQUIDEZ IMEDIATA	2017	24	NA
América Mineiro	0.46	LIQUIDEZ SECA	2014	29	NA
América Mineiro	0.43	LIQUIDEZ SECA	2015	31	NA
América Mineiro	0.48	LIQUIDEZ SECA	2017	24	NA
América Mineiro	0.16	LIQUIDEZ GERAL	2014	29	NA
América Mineiro	1.2	LIQUIDEZ GERAL	2015	31	NA
América Mineiro	2.65	LIQUIDEZ GERAL	2017	24	NA
América Mineiro	1.62	END. FINANCEIRO	2014	29	NA
América Mineiro	5.06	END. FINANCEIRO	2015	31	NA
América Mineiro	0.41	END. FINANCEIRO	2017	24	NA
América Mineiro	0.62	DEP. FINANCEIRA	2014	29	NA
América Mineiro	0.83	DEP. FINANCEIRA	2015	31	NA
América Mineiro	0.36	DEP. FINANCEIRA	2017	24	NA
América Mineiro	0.34	COMP. ENDIVIDAMENTO	2014	29	NA
América Mineiro	0.19	COMP. ENDIVIDAMENTO	2015	31	NA
América Mineiro	0.46	COMP. ENDIVIDAMENTO	2017	24	NA
América Mineiro	0.33	ROA	2014	29	NA
América Mineiro	0.2	ROA	2015	31	NA
América Mineiro	0.18	ROA	2017	24	NA
América Mineiro	-0.57	ROE	2015	31	NA
América Mineiro	-0.03	ROE	2017	24	NA
Atlético Goianiense	NA	LIQUIDEZ IMEDIATA	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ IMEDIATA	2015	28	NA
Atlético Goianiense	0.03	LIQUIDEZ IMEDIATA	2016	26	NA
Atlético Goianiense	0.01	LIQUIDEZ IMEDIATA	2018	25	NA
Atlético Goianiense	NA	LIQUIDEZ SECA	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ SECA	2015	28	NA
Atlético Goianiense	0.07	LIQUIDEZ SECA	2016	26	NA
Atlético Goianiense	0.27	LIQUIDEZ SECA	2018	25	NA
Atlético Goianiense	NA	LIQUIDEZ GERAL	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ GERAL	2015	28	NA
Atlético Goianiense	0.7	LIQUIDEZ GERAL	2016	26	NA
Atlético Goianiense	0.89	LIQUIDEZ GERAL	2018	25	NA
Atlético Goianiense	0	END. FINANCEIRO	2014	22	NA
Atlético Goianiense	0	END. FINANCEIRO	2015	28	NA
Atlético Goianiense	3.28	END. FINANCEIRO	2016	26	NA
Atlético Goianiense	9.25	END. FINANCEIRO	2018	25	NA
Atlético Goianiense	0	DEP. FINANCEIRA	2014	22	NA
Atlético Goianiense	0	DEP. FINANCEIRA	2015	28	NA
Atlético Goianiense	1.44	DEP. FINANCEIRA	2016	26	NA
Atlético Goianiense	1.12	DEP. FINANCEIRA	2018	25	NA
Atlético Goianiense	0	COMP. ENDIVIDAMENTO	2014	22	NA
Atlético Goianiense	0	COMP. ENDIVIDAMENTO	2015	28	NA
Atlético Goianiense	0.99	COMP. ENDIVIDAMENTO	2016	26	NA
Atlético Goianiense	0.21	COMP. ENDIVIDAMENTO	2018	25	NA
Atlético Goianiense	0	ROA	2014	22	NA
Atlético Goianiense	0	ROA	2015	28	NA
Atlético Goianiense	1.97	ROA	2016	26	NA
Atlético Goianiense	2.41	ROA	2018	25	NA
Atlético Goianiense	0	ROE	2014	22	NA
Atlético Goianiense	0	ROE	2015	28	NA
Atlético Goianiense	0.15	ROE	2016	26	NA
Atlético Goianiense	1.85	ROE	2018	25	NA
Avaí	0.02	LIQUIDEZ IMEDIATA	2014	27	NA
Avaí	0.03	LIQUIDEZ IMEDIATA	2016	24	NA
Avaí	0	LIQUIDEZ IMEDIATA	2018	21	NA
Avaí	0.08	LIQUIDEZ SECA	2014	27	NA
Avaí	0.21	LIQUIDEZ SECA	2016	24	NA
Avaí	0.43	LIQUIDEZ SECA	2018	21	NA
Avaí	1.04	LIQUIDEZ GERAL	2014	27	NA
Avaí	0.77	LIQUIDEZ GERAL	2016	24	NA
Avaí	0.9	LIQUIDEZ GERAL	2018	21	NA
Avaí	25.96	END. FINANCEIRO	2014	27	NA
Avaí	4.37	END. FINANCEIRO	2016	24	NA
Avaí	9.96	END. FINANCEIRO	2018	21	NA
Avaí	0.96	DEP. FINANCEIRA	2014	27	NA
Avaí	1.3	DEP. FINANCEIRA	2016	24	NA
Avaí	1.11	DEP. FINANCEIRA	2018	21	NA
Avaí	0.24	COMP. ENDIVIDAMENTO	2014	27	NA
Avaí	0.36	COMP. ENDIVIDAMENTO	2016	24	NA
Avaí	0.38	COMP. ENDIVIDAMENTO	2018	21	NA
Avaí	0.03	ROA	2014	27	NA
Avaí	0.29	ROA	2016	24	NA
Avaí	0.6	ROA	2018	21	NA
Avaí	0.12	ROE	2014	27	NA
Avaí	0.43	ROE	2016	24	NA
Avaí	-0.55	ROE	2018	21	NA
Bahia	0	LIQUIDEZ IMEDIATA	2015	18	NA
Bahia	0.22	LIQUIDEZ IMEDIATA	2016	21	NA
Bahia	0.85	LIQUIDEZ SECA	2015	18	NA
Bahia	0.71	LIQUIDEZ SECA	2016	21	NA
Bahia	0.36	LIQUIDEZ GERAL	2015	18	NA
Bahia	0.54	LIQUIDEZ GERAL	2016	21	NA
Bahia	1.55	END. FINANCEIRO	2015	18	NA
Bahia	2.16	END. FINANCEIRO	2016	21	NA
Bahia	2.81	DEP. FINANCEIRA	2015	18	NA
Bahia	1.86	DEP. FINANCEIRA	2016	21	NA
Bahia	0.17	COMP. ENDIVIDAMENTO	2015	18	NA
Bahia	0.3	COMP. ENDIVIDAMENTO	2016	21	NA
Bahia	1	ROA	2015	18	NA
Bahia	2.67	ROA	2016	21	NA
Bahia	-0.31	ROE	2015	18	NA
Bahia	-0.22	ROE	2016	21	NA
Botafogo	0	LIQUIDEZ IMEDIATA	2015	13	NA
Botafogo	0.13	LIQUIDEZ SECA	2015	13	NA
Botafogo	0.68	LIQUIDEZ GERAL	2015	13	NA
Botafogo	0.7	END. FINANCEIRO	2015	13	NA
Botafogo	8.03	DEP. FINANCEIRA	2015	13	NA
Botafogo	0.5	COMP. ENDIVIDAMENTO	2015	13	NA
Botafogo	0.93	ROA	2015	13	NA
Botafogo	-0.17	ROE	2015	13	NA
Ceará	0.01	LIQUIDEZ IMEDIATA	2014	19	NA
Ceará	0.02	LIQUIDEZ IMEDIATA	2015	21	NA
Ceará	0.12	LIQUIDEZ IMEDIATA	2016	23	NA
Ceará	0.03	LIQUIDEZ IMEDIATA	2017	27	NA
Ceará	0.01	LIQUIDEZ SECA	2014	19	NA
Ceará	0.09	LIQUIDEZ SECA	2015	21	NA
Ceará	0.24	LIQUIDEZ SECA	2016	23	NA
Ceará	0.21	LIQUIDEZ SECA	2017	27	NA
Ceará	0.29	LIQUIDEZ GERAL	2014	19	NA
Ceará	0.24	LIQUIDEZ GERAL	2015	21	NA
Ceará	0.13	LIQUIDEZ GERAL	2016	23	NA
Ceará	0.05	LIQUIDEZ GERAL	2017	27	NA
Ceará	1.4	END. FINANCEIRO	2014	19	NA
Ceará	1.67	END. FINANCEIRO	2015	21	NA
Ceará	2.26	END. FINANCEIRO	2016	23	NA
Ceará	4.65	END. FINANCEIRO	2017	27	NA
Ceará	3.51	DEP. FINANCEIRA	2014	19	NA
Ceará	2.48	DEP. FINANCEIRA	2015	21	NA
Ceará	1.79	DEP. FINANCEIRA	2016	23	NA
Ceará	1.27	DEP. FINANCEIRA	2017	27	NA
Ceará	0.51	COMP. ENDIVIDAMENTO	2014	19	NA
Ceará	0.48	COMP. ENDIVIDAMENTO	2015	21	NA
Ceará	0.43	COMP. ENDIVIDAMENTO	2016	23	NA
Ceará	0.24	COMP. ENDIVIDAMENTO	2017	27	NA
Ceará	6.06	ROA	2014	19	NA
Ceará	6.94	ROA	2015	21	NA
Ceará	6.36	ROA	2016	23	NA
Ceará	6.23	ROA	2017	27	NA
Ceará	0.05	ROE	2014	19	NA
Ceará	-0.11	ROE	2015	21	NA
Ceará	-0.09	ROE	2016	23	NA
Ceará	-1.46	ROE	2017	27	NA
Coritiba	0	LIQUIDEZ IMEDIATA	2018	20	NA
Coritiba	0.11	LIQUIDEZ SECA	2018	20	NA
Coritiba	0.78	LIQUIDEZ GERAL	2018	20	NA
Coritiba	4.51	END. FINANCEIRO	2018	20	NA
Coritiba	1.29	DEP. FINANCEIRA	2018	20	NA
Coritiba	0.22	COMP. ENDIVIDAMENTO	2018	20	NA
Coritiba	0.55	ROA	2018	20	NA
Coritiba	0.17	ROE	2018	20	NA
Criciúma	0.11	LIQUIDEZ IMEDIATA	2015	22	NA
Criciúma	0.08	LIQUIDEZ IMEDIATA	2016	25	NA
Criciúma	0.06	LIQUIDEZ IMEDIATA	2017	29	NA
Criciúma	0.02	LIQUIDEZ IMEDIATA	2018	29	NA
Criciúma	0.38	LIQUIDEZ SECA	2015	22	NA
Criciúma	0.39	LIQUIDEZ SECA	2016	25	NA
Criciúma	0.81	LIQUIDEZ SECA	2017	29	NA
Criciúma	0.63	LIQUIDEZ SECA	2018	29	NA
Criciúma	2.07	LIQUIDEZ GERAL	2015	22	NA
Criciúma	2.08	LIQUIDEZ GERAL	2016	25	NA
Criciúma	1.63	LIQUIDEZ GERAL	2017	29	NA
Criciúma	2.07	LIQUIDEZ GERAL	2018	29	NA
Criciúma	0.94	END. FINANCEIRO	2015	22	NA
Criciúma	0.93	END. FINANCEIRO	2016	25	NA
Criciúma	1.58	END. FINANCEIRO	2017	29	NA
Criciúma	0.93	END. FINANCEIRO	2018	29	NA
Criciúma	0.48	DEP. FINANCEIRA	2015	22	NA
Criciúma	0.48	DEP. FINANCEIRA	2016	25	NA
Criciúma	0.61	DEP. FINANCEIRA	2017	29	NA
Criciúma	0.48	DEP. FINANCEIRA	2018	29	NA
Criciúma	0.37	COMP. ENDIVIDAMENTO	2015	22	NA
Criciúma	0.16	COMP. ENDIVIDAMENTO	2016	25	NA
Criciúma	0.11	COMP. ENDIVIDAMENTO	2017	29	NA
Criciúma	0.17	COMP. ENDIVIDAMENTO	2018	29	NA
Criciúma	0.3	ROA	2015	22	NA
Criciúma	0.05	ROA	2016	25	NA
Criciúma	0.84	ROA	2017	29	NA
Criciúma	1.38	ROA	2018	29	NA
Criciúma	-0.32	ROE	2015	22	NA
Criciúma	0	ROE	2016	25	NA
Criciúma	-0.4	ROE	2017	29	NA
Criciúma	0.22	ROE	2018	29	NA
Figueirense	0.01	LIQUIDEZ IMEDIATA	2017	19	NA
Figueirense	0	LIQUIDEZ IMEDIATA	2018	22	NA
Figueirense	0.16	LIQUIDEZ SECA	2017	19	NA
Figueirense	0.11	LIQUIDEZ SECA	2018	22	NA
Figueirense	0.4	LIQUIDEZ GERAL	2017	19	NA
Figueirense	0.35	LIQUIDEZ GERAL	2018	22	NA
Figueirense	1.68	END. FINANCEIRO	2017	19	NA
Figueirense	1.21	END. FINANCEIRO	2018	22	NA
Figueirense	3.12	DEP. FINANCEIRA	2017	19	NA
Figueirense	2.87	DEP. FINANCEIRA	2018	22	NA
Figueirense	0.5	COMP. ENDIVIDAMENTO	2017	19	NA
Figueirense	0.5	COMP. ENDIVIDAMENTO	2018	22	NA
Figueirense	0.92	ROA	2017	19	NA
Figueirense	1.91	ROA	2018	22	NA
Figueirense	0.46	ROE	2017	19	NA
Figueirense	0.18	ROE	2018	22	NA
Goiás	0	LIQUIDEZ IMEDIATA	2016	18	NA
Goiás	0	LIQUIDEZ IMEDIATA	2017	22	NA
Goiás	0	LIQUIDEZ IMEDIATA	2018	24	NA
Goiás	0.27	LIQUIDEZ SECA	2016	18	NA
Goiás	2.03	LIQUIDEZ SECA	2017	22	NA
Goiás	1.49	LIQUIDEZ SECA	2018	24	NA
Goiás	1	LIQUIDEZ GERAL	2016	18	NA
Goiás	1	LIQUIDEZ GERAL	2017	22	NA
Goiás	1	LIQUIDEZ GERAL	2018	24	NA
Goiás	1.4	END. FINANCEIRO	2016	18	NA
Goiás	1.35	END. FINANCEIRO	2017	22	NA
Goiás	1.3	END. FINANCEIRO	2018	24	NA
Goiás	1	DEP. FINANCEIRA	2016	18	NA
Goiás	1	DEP. FINANCEIRA	2017	22	NA
Goiás	1	DEP. FINANCEIRA	2018	24	NA
Goiás	0.05	COMP. ENDIVIDAMENTO	2016	18	NA
Goiás	0.07	COMP. ENDIVIDAMENTO	2017	22	NA
Goiás	0.08	COMP. ENDIVIDAMENTO	2018	24	NA
Goiás	0.14	ROA	2016	18	NA
Goiás	0.18	ROA	2017	22	NA
Goiás	0.12	ROA	2018	24	NA
Goiás	0	ROE	2016	18	NA
Goiás	0.04	ROE	2017	22	NA
Goiás	0.04	ROE	2018	24	NA
Internacional	0	LIQUIDEZ IMEDIATA	2017	10	NA
Internacional	0.4	LIQUIDEZ SECA	2017	10	NA
Internacional	1.33	LIQUIDEZ GERAL	2017	10	NA
Internacional	2.5	END. FINANCEIRO	2017	10	NA
Internacional	0.71	DEP. FINANCEIRA	2017	10	NA
Internacional	0.4	COMP. ENDIVIDAMENTO	2017	10	NA
Internacional	1	ROA	2017	10	NA
Internacional	-0.18	ROE	2017	10	NA
Ponte Preta	0	LIQUIDEZ IMEDIATA	2014	18	NA
Ponte Preta	0.03	LIQUIDEZ IMEDIATA	2018	18	NA
Ponte Preta	0.01	LIQUIDEZ SECA	2014	18	NA
Ponte Preta	0.06	LIQUIDEZ SECA	2018	18	NA
Ponte Preta	1.55	LIQUIDEZ GERAL	2014	18	NA
Ponte Preta	1.55	LIQUIDEZ GERAL	2018	18	NA
Ponte Preta	1.53	END. FINANCEIRO	2014	18	NA
Ponte Preta	1.87	END. FINANCEIRO	2018	18	NA
Ponte Preta	0.6	DEP. FINANCEIRA	2014	18	NA
Ponte Preta	0.64	DEP. FINANCEIRA	2018	18	NA
Ponte Preta	0.85	COMP. ENDIVIDAMENTO	2014	18	NA
Ponte Preta	0.14	COMP. ENDIVIDAMENTO	2018	18	NA
Ponte Preta	0.3	ROA	2014	18	NA
Ponte Preta	0.54	ROA	2018	18	NA
Ponte Preta	-0.09	ROE	2014	18	NA
Ponte Preta	-0.07	ROE	2018	18	NA
Vasco da Gama	0	LIQUIDEZ IMEDIATA	2014	12	NA
Vasco da Gama	0	LIQUIDEZ IMEDIATA	2016	13	NA
Vasco da Gama	0.13	LIQUIDEZ SECA	2014	12	NA
Vasco da Gama	0.05	LIQUIDEZ SECA	2016	13	NA
Vasco da Gama	0.47	LIQUIDEZ GERAL	2014	12	NA
Vasco da Gama	0.48	LIQUIDEZ GERAL	2016	13	NA
Vasco da Gama	1.88	END. FINANCEIRO	2014	12	NA
Vasco da Gama	1.93	END. FINANCEIRO	2016	13	NA
Vasco da Gama	2.14	DEP. FINANCEIRA	2014	12	NA
Vasco da Gama	2.08	DEP. FINANCEIRA	2016	13	NA
Vasco da Gama	0.32	COMP. ENDIVIDAMENTO	2014	12	NA
Vasco da Gama	0.4	COMP. ENDIVIDAMENTO	2016	13	NA
Vasco da Gama	1.14	ROA	2014	12	NA
Vasco da Gama	2.26	ROA	2016	13	NA
Vasco da Gama	0.04	ROE	2014	12	NA
Vasco da Gama	-0.04	ROE	2016	13	NA
Vitória	0.37	LIQUIDEZ IMEDIATA	2015	20	NA
Vitória	0.42	LIQUIDEZ SECA	2015	20	NA
Vitória	1.53	LIQUIDEZ GERAL	2015	20	NA
Vitória	4	END. FINANCEIRO	2015	20	NA
Vitória	0.8	DEP. FINANCEIRA	2015	20	NA
Vitória	0.68	COMP. ENDIVIDAMENTO	2015	20	NA
Vitória	1.79	ROA	2015	20	NA
Vitória	-0.4	ROE	2015	20	NA
Corinthians	0	LIQUIDEZ IMEDIATA	2015	1	81
Corinthians	0.53	LIQUIDEZ SECA	2015	1	81
Corinthians	0.69	LIQUIDEZ GERAL	2015	1	81
Corinthians	12.43	END. FINANCEIRO	2015	1	81
Corinthians	1.09	DEP. FINANCEIRA	2015	1	81
Corinthians	0.27	COMP. ENDIVIDAMENTO	2015	1	81
Corinthians	0.16	ROA	2015	1	81
Corinthians	0.62	ROE	2015	1	81
Palmeiras	0.13	LIQUIDEZ IMEDIATA	2018	1	80
Palmeiras	0.33	LIQUIDEZ SECA	2018	1	80
Palmeiras	1.1	LIQUIDEZ GERAL	2018	1	80
Palmeiras	9.83	END. FINANCEIRO	2018	1	80
Palmeiras	0.91	DEP. FINANCEIRA	2018	1	80
Palmeiras	0.35	COMP. ENDIVIDAMENTO	2018	1	80
Palmeiras	2.95	ROA	2018	1	80
Palmeiras	0.51	ROE	2018	1	80
Palmeiras	NA	LIQUIDEZ IMEDIATA	2016	2	80
Palmeiras	NA	LIQUIDEZ SECA	2016	2	80
Palmeiras	NA	LIQUIDEZ GERAL	2016	2	80
Palmeiras	NA	END. FINANCEIRO	2016	2	80
Palmeiras	0	DEP. FINANCEIRA	2016	2	80
Palmeiras	0	COMP. ENDIVIDAMENTO	2016	2	80
Palmeiras	0	ROA	2016	2	80
Palmeiras	0	ROE	2016	2	80
Cruzeiro	0	LIQUIDEZ IMEDIATA	2014	1	80
Cruzeiro	0.24	LIQUIDEZ SECA	2014	1	80
Cruzeiro	0.88	LIQUIDEZ GERAL	2014	1	80
Cruzeiro	8.91	END. FINANCEIRO	2014	1	80
Cruzeiro	1.41	DEP. FINANCEIRA	2014	1	80
Cruzeiro	0.71	COMP. ENDIVIDAMENTO	2014	1	80
Cruzeiro	1.68	ROA	2014	1	80
Cruzeiro	-0.64	ROE	2014	1	80
Flamengo	0.04	LIQUIDEZ IMEDIATA	2018	6	72
Flamengo	0.35	LIQUIDEZ SECA	2018	6	72
Flamengo	0.16	LIQUIDEZ GERAL	2018	6	72
Flamengo	4.79	END. FINANCEIRO	2018	6	72
Flamengo	1	DEP. FINANCEIRA	2018	6	72
Flamengo	0.34	COMP. ENDIVIDAMENTO	2018	6	72
Flamengo	1.23	ROA	2018	6	72
Flamengo	37.37	ROE	2018	6	72
Corinthians	0	LIQUIDEZ IMEDIATA	2017	6	72
Corinthians	0.38	LIQUIDEZ SECA	2017	6	72
Corinthians	1.28	LIQUIDEZ GERAL	2017	6	72
Corinthians	2.68	END. FINANCEIRO	2017	6	72
Corinthians	0.78	DEP. FINANCEIRA	2017	6	72
Corinthians	0.66	COMP. ENDIVIDAMENTO	2017	6	72
Corinthians	0.53	ROA	2017	6	72
Corinthians	-0.13	ROE	2017	6	72
Flamengo	0.06	LIQUIDEZ IMEDIATA	2016	9	71
Santos	0.01	LIQUIDEZ IMEDIATA	2016	3	71
Flamengo	0.19	LIQUIDEZ SECA	2016	9	71
Santos	0.13	LIQUIDEZ SECA	2016	3	71
Flamengo	0.84	LIQUIDEZ GERAL	2016	9	71
Santos	0.36	LIQUIDEZ GERAL	2016	3	71
Flamengo	6.08	END. FINANCEIRO	2016	9	71
Santos	1.78	END. FINANCEIRO	2016	3	71
Flamengo	1.2	DEP. FINANCEIRA	2016	9	71
Santos	2.27	DEP. FINANCEIRA	2016	3	71
Flamengo	0.38	COMP. ENDIVIDAMENTO	2016	9	71
Santos	0.35	COMP. ENDIVIDAMENTO	2016	3	71
Flamengo	1.48	ROA	2016	9	71
Santos	2.58	ROA	2016	3	71
Flamengo	-1.61	ROE	2016	9	71
Santos	-0.24	ROE	2016	3	71
São Paulo	0.06	LIQUIDEZ IMEDIATA	2014	7	70
São Paulo	0.2	LIQUIDEZ SECA	2014	7	70
São Paulo	1.38	LIQUIDEZ GERAL	2014	7	70
São Paulo	2.63	END. FINANCEIRO	2014	7	70
São Paulo	0.72	DEP. FINANCEIRA	2014	7	70
São Paulo	0.53	COMP. ENDIVIDAMENTO	2014	7	70
São Paulo	0.65	ROA	2014	7	70
São Paulo	0.28	ROE	2014	7	70
Internacional	0.01	LIQUIDEZ IMEDIATA	2018	9	69
Internacional	0.25	LIQUIDEZ SECA	2018	9	69
Internacional	1.36	LIQUIDEZ GERAL	2018	9	69
Internacional	2.34	END. FINANCEIRO	2018	9	69
Internacional	0.7	DEP. FINANCEIRA	2018	9	69
Internacional	0.33	COMP. ENDIVIDAMENTO	2018	9	69
Internacional	0.38	ROA	2018	9	69
Internacional	-0.03	ROE	2018	9	69
Atlético Mineiro	0.08	LIQUIDEZ IMEDIATA	2015	7	69
Atlético Mineiro	0.16	LIQUIDEZ SECA	2015	7	69
Atlético Mineiro	1.3	LIQUIDEZ GERAL	2015	7	69
Atlético Mineiro	3.32	END. FINANCEIRO	2015	7	69
Atlético Mineiro	0.77	DEP. FINANCEIRA	2015	7	69
Atlético Mineiro	0.29	COMP. ENDIVIDAMENTO	2015	7	69
Atlético Mineiro	0.5	ROA	2015	7	69
Atlético Mineiro	0.07	ROE	2015	7	69
Corinthians	0	LIQUIDEZ IMEDIATA	2014	2	69
Internacional	0.02	LIQUIDEZ IMEDIATA	2014	9	69
Corinthians	0.54	LIQUIDEZ SECA	2014	2	69
Internacional	0.32	LIQUIDEZ SECA	2014	9	69
Corinthians	1.27	LIQUIDEZ GERAL	2014	2	69
Internacional	2.03	LIQUIDEZ GERAL	2014	9	69
Corinthians	3.74	END. FINANCEIRO	2014	2	69
Internacional	0.97	END. FINANCEIRO	2014	9	69
Corinthians	0.79	DEP. FINANCEIRA	2014	2	69
Internacional	0.49	DEP. FINANCEIRA	2014	9	69
Corinthians	0.27	COMP. ENDIVIDAMENTO	2014	2	69
Internacional	0.6	COMP. ENDIVIDAMENTO	2014	9	69
Corinthians	0.12	ROA	2014	2	69
Internacional	0.31	ROA	2014	9	69
Corinthians	0.91	ROE	2014	2	69
Internacional	0.13	ROE	2014	9	69
Grêmio	0	LIQUIDEZ IMEDIATA	2015	2	68
Grêmio	0.14	LIQUIDEZ SECA	2015	2	68
Grêmio	0.71	LIQUIDEZ GERAL	2015	2	68
Grêmio	3.45	END. FINANCEIRO	2015	2	68
Grêmio	1.41	DEP. FINANCEIRA	2015	2	68
Grêmio	0.38	COMP. ENDIVIDAMENTO	2015	2	68
Grêmio	0.28	ROA	2015	2	68
Grêmio	0.56	ROE	2015	2	68
Grêmio	0.03	LIQUIDEZ IMEDIATA	2018	3	66
Grêmio	0.36	LIQUIDEZ SECA	2018	3	66
Grêmio	0.84	LIQUIDEZ GERAL	2018	3	66
Grêmio	6.41	END. FINANCEIRO	2018	3	66
Grêmio	1.18	DEP. FINANCEIRA	2018	3	66
Grêmio	0.31	COMP. ENDIVIDAMENTO	2018	3	66
Grêmio	0.88	ROA	2018	3	66
Grêmio	1.48	ROE	2018	3	66
São Paulo	0.06	LIQUIDEZ IMEDIATA	2018	12	63
São Paulo	0.75	LIQUIDEZ SECA	2018	12	63
São Paulo	1.13	LIQUIDEZ GERAL	2018	12	63
São Paulo	7.53	END. FINANCEIRO	2018	12	63
São Paulo	0.88	DEP. FINANCEIRA	2018	12	63
São Paulo	0.36	COMP. ENDIVIDAMENTO	2018	12	63
São Paulo	1.34	ROA	2018	12	63
São Paulo	0.07	ROE	2018	12	63
Palmeiras	0.06	LIQUIDEZ IMEDIATA	2017	1	63
Santos	0.01	LIQUIDEZ IMEDIATA	2017	4	63
Palmeiras	0.35	LIQUIDEZ SECA	2017	1	63
Santos	0.08	LIQUIDEZ SECA	2017	4	63
Palmeiras	1.06	LIQUIDEZ GERAL	2017	1	63
Santos	0.44	LIQUIDEZ GERAL	2017	4	63
Palmeiras	16.74	END. FINANCEIRO	2017	1	63
Santos	1.37	END. FINANCEIRO	2017	4	63
Palmeiras	0.94	DEP. FINANCEIRA	2017	1	63
Santos	2.27	DEP. FINANCEIRA	2017	4	63
Palmeiras	0.45	COMP. ENDIVIDAMENTO	2017	1	63
Santos	0.48	COMP. ENDIVIDAMENTO	2017	4	63
Palmeiras	2.79	ROA	2017	1	63
Santos	2.19	ROA	2017	4	63
Palmeiras	1.97	ROE	2017	1	63
Santos	-0.01	ROE	2017	4	63
Grêmio	0.03	LIQUIDEZ IMEDIATA	2017	3	62
Grêmio	0.3	LIQUIDEZ SECA	2017	3	62
Grêmio	0.69	LIQUIDEZ GERAL	2017	3	62
Grêmio	3.25	END. FINANCEIRO	2017	3	62
Grêmio	1.45	DEP. FINANCEIRA	2017	3	62
Grêmio	0.37	COMP. ENDIVIDAMENTO	2017	3	62
Grêmio	0.02	ROA	2017	3	62
Grêmio	1.15	ROE	2017	3	62
Atlético Mineiro	0.05	LIQUIDEZ IMEDIATA	2016	5	62
Atlético Mineiro	0.04	LIQUIDEZ SECA	2016	5	62
